Iteration,Inlet Monitor Point Temperature (°C),Outlet Monitor Point Temperature (°C),TPU Monitor Point Temperature (°C),VRM 1 Monitor Point Temperature (°C),VRM 2 Monitor Point Temperature (°C),VRM 3 Monitor Point Temperature (°C),VRM 4 Monitor Point Temperature (°C),HBM 1 Monitor Point Temperature (°C),HBM 2 Monitor Point Temperature (°C),HBM 3 Monitor Point Temperature (°C),HBM 4 Monitor Point Temperature (°C),HBM 5 Monitor Point Temperature (°C),HBM 6 Monitor Point Temperature (°C),HBM 7 Monitor Point Temperature (°C),HBM 8 Monitor Point Temperature (°C),Inlet Monitor Point Pressure (N/m2),Outlet Monitor Point Pressure (N/m2)
1,35.0,35.4605320461012,27.074662501813172,31.50508978011458,32.285390030447324,33.24875664732206,34.11710437932924,25.09912741294199,24.889642282635982,24.899722836551227,24.704415127161944,24.395553984992738,24.172126048300548,24.268913429429993,24.08607380652071,25343.22478083264,14907.512081263707
2,35.0,35.905227684095955,31.978839731133647,40.691202485453985,41.259166522351975,42.18712757381333,42.92823554283474,29.25376266778993,29.035110314234174,29.248230286274406,29.05745759898747,28.643383944043862,28.397313289854964,28.780940818957717,28.614686419736998,25674.54486626878,14817.722971482117
3,35.0,36.334427580621316,36.71805562184361,49.568838954826255,49.931583515579554,50.82532566735734,51.443458487287025,33.26855850380718,33.04104617897011,33.45040042659762,33.26401076397281,32.74825093686784,32.4802964666873,33.14115030566965,32.99092525378473,25994.169146240936,14730.352104256674
4,35.0,36.74848793413519,41.29767591538735,58.148175026856826,58.312578321615895,59.17324846672219,59.67252781711327,37.14803866709297,36.911963324975,37.51097478926945,37.32882124826772,36.71478339950762,36.42567857922335,37.3544671108646,37.21973416091546,26302.32645917818,14645.15526648069
5,35.0,37.14778298142737,45.72291648988735,66.43907545989346,66.41178516623079,67.24049175799685,67.62490117470058,40.89660526104511,40.65225390282899,41.43456596395451,41.256506565192154,40.547484616478755,40.2379383288708,41.42568135715196,41.30592127024964,26599.26795048619,14561.92640699039
6,35.0,37.532706420848264,49.998850410825526,74.45110638609302,74.23854737561635,75.03636171605098,75.3097512212909,44.51854485118869,44.266194858821805,45.225663947710856,45.05156147043651,44.2507389432011,43.92143631187797,45.35945462427625,45.25416556453011,26885.268352706647,14480.498385323488
7,35.0,37.903671787840096,54.13041374541517,82.19354634809683,81.80192815409454,82.56988563906107,82.73597621632409,48.0180333653971,47.75795282399318,48.88864128166003,48.718363104262664,47.82881681988138,47.48042000560106,49.16032528521815,49.069022236450664,27160.626222774048,14400.742695385869
8,35.0,38.26111184492856,58.12241020914335,89.6753959928437,89.11072002764169,89.84982135030137,89.91220926924669,51.39913985692231,51.13158786635751,52.42775704254151,52.261174988403944,51.2858786443954,50.919027614696525,52.83271269049569,52.754926892506894,27425.663198367605,14322.568225426967
9,35.0,38.60547707172434,61.97951473614247,96.90538652004608,96.17345305046518,96.88466536438557,96.84682636079842,54.665829220866804,54.391056196932176,55.847159780049346,55.68414996856823,54.625977594929985,54.24129086796783,56.3809202917876,56.316198695513826,27680.722358752093,14245.919139140882
10,35.0,38.93723336022008,65.70627608458209,103.89198700218994,102.9984018912114,103.68265993449141,103.54795325013997,57.82196397429493,57.54021193975534,59.15088951040576,58.99133221300484,57.85306151270609,57.45113687615782,59.80913781554986,59.75704255648367,27926.165795242978,14170.771982470904
11,35.0,39.25685903640421,69.30711860380865,110.6434107082664,109.59359193074121,110.25179911245974,110.02347139955069,60.87130522575296,60.58280809165079,62.34287889218898,62.18665839315824,60.970973970671324,60.552389176546214,63.12144261285215,63.08155050211117,28162.37151217261,14097.132136455251
12,35.0,39.56484134073583,72.78634330129402,117.16762057459141,115.96680451456686,116.59983396481755,116.2810230595885,63.817512971330956,63.52249680886155,65.42695372178814,65.27395818378714,63.98345466541038,63.54876810157252,66.32180032300917,66.29370235546266,28389.729790760866,14025.029747996707
13,35.0,39.861672507245764,76.14812835448782,123.47233397292774,122.12558150991038,122.73427709464295,122.32801566447787,66.66414586146597,66.36282916474072,68.40683289291657,68.2569542269856,66.89413927658433,66.4438906157683,69.41406499563382,69.39736587451482,28608.639155520254,13954.515277682658
14,35.0,40.147845583988826,79.39652921545157,129.565026928734,128.07722931996335,128.66240662181136,128.17162569011782,69.41466058549824,69.10725452550095,71.28612796741926,71.13926170734723,69.70655894101816,69.24126976809205,72.4019788185366,72.3962964959875,28819.502085789394,13885.654806762928
15,35.0,40.423850136423724,82.53547845483017,135.4529379408777,133.82882250644735,134.39126977268194,133.81880212562743,72.07241101969923,71.75911968973068,74.06834250330952,73.92438768421269,72.42413948725927,71.94431390546418,75.28917159758934,75.29413683060663,29022.720613844605,13818.525244265007
16,35.0,40.69016797029997,85.56878548655283,141.14307154882522,139.38720716625963,139.92768622497144,139.27626970403816,74.64064727935454,74.32166793225062,76.75687128082744,76.61573032179757,75.05020057129063,74.55632578816122,78.07916012952172,78.09441605078389,29218.6919460468,13753.209570249324
17,35.0,40.9472690021378,88.50013630600077,146.64220178451237,144.7590041991852,145.27825134475916,144.5505320289445,77.1225148068573,76.79803808425659,79.35499955867775,79.21657814936361,77.58795484545169,77.08050173909874,80.7753475999793,80.800549303059,29407.804234991334,13689.792242733014
18,35.0,41.195607393826215,91.33309336266228,151.95687563423255,149.95061259179914,150.44933944071147,149.64787472207252,79.52105361607704,79.19126377000401,81.86590248090752,81.7301094718977,80.04050728092537,79.51993094733866,83.38102312746797,83.41583726594637,29590.432619071547,13628.35488426848
19,35.0,41.435618053726444,94.07109567400703,157.093416621446,154.9682128282556,155.44710714618736,154.57436870230453,81.83919779900577,81.50427290602745,84.2926447406144,84.15939203749416,82.41085474988431,81.87759503189193,85.89936155953512,85.94346595955244,29766.935631733086,13568.972350043461
20,35.0,41.66771359048863,96.71745927098667,162.05792860494952,159.81777052220215,160.2774970234313,159.3358736902457,84.07977538438236,83.73988755258715,86.63818059036907,86.50738305132782,84.70188595708474,84.15636795558353,88.33342361122472,88.38650689701672,29937.652066519782,13511.709263206922
